Prediction,Ground Truth,CER,WER
"ra thuốc hiệu hai cố chế "" của Nhà nước thuốc hiệu thu hồi đất như"" cách",ta thực hiện hai cơ chế (vừa Nhà nước thực hiện thu hồi đất như cách,0.19117647058823528,0.5625
"lên nay, vấn lệng? Khối nhà đầu tư thỏa thuận với người sử dụng.","làm lâu nay, vừa khuyến khích nhà đầu tư thỏa thuận với người sử dụng",0.2753623188405797,0.4
"đất) thì phải tập - ông Trịnh Kiên Đình, phó giám đốc Sở Tài","đất) thì phức tạp - ông Trịnh Kiên Đĩnh, phó giám đốc Sở Tài",0.06666666666666667,0.21428571428571427
"nguyên - một đường và nhà đại Hà Nội, lên đường.","nguyên - môi trường và nhà đất Hà Nội, lên tiếng.",0.1836734693877551,0.36363636363636365
"Đào từ lập thường cần quan sát nào, Thủ trưởng Đảng thông với khẳng định.","Bảo vệ lập trường của cơ quan soạn thảo, Thứ trưởng Đặng Hùng Võ khẳng định",0.3333333333333333,0.75
""" trường hợp nhà đầu tư có nhu cầu thực phẩm với người đang rất dễng đột, chứng",""" trường hợp nhà đầu tư có nhu cầu thỏa thuận với người đang sử dụng đất, chúng",0.1518987341772152,0.3333333333333333
"tả cán khuyến khích từ Nhà nước chẳng mất cái gì cả "". Ông Võ "" kiện gọi "":","ta cần khuyến khích vì Nhà nước chẳng mất cái gì cả "". Ông Võ "" kêu gọi "" :",0.10666666666666667,0.3
"chúng ta còn thay đổi trong quan điểm, không nên để hệ thống hành chính","chúng ta cần thay đổi trong quan điểm, không nên để hệ thống hành chính",0.014084507042253521,0.06666666666666667
"Ôm viên như vậy, bởi ôm càng hiểu thì sai càng hiểu, Bộ trưởng Mái","ôm về mình nhiều quá, bởi ôm càng nhiều thì sai càng nhiều. Bộ trưởng Mai",0.2465753424657534,0.5
Ái Trúc tiếp lên : Các nước đều ép đựng có chết từ theo thượng lưu thuỷ.,Ái Trực tiếp lời : Các nước đều áp dụng cơ chế tự thỏa thuận khi thu hồi,0.2916666666666667,0.6666666666666666
đặt.,đất.,0.25,1.0
"Ngày cả trường họp ra không quá trình, người dân và doanh nghiệp vẫn thực hiện.","Ngay cả trường hợp ta không qui định, người dân và doanh nghiệp vẫn thực hiện",0.1038961038961039,0.375
"có đặc này. "" Nếu cũ dùng quyền lực hành chính nhà nước với mô hình thương","cơ chế này. "" Nếu cứ dùng quyền lực hành chính nhà nước với mô hình khuôn",0.1232876712328767,0.23529411764705882
"cũng, người dân sở kêu "" ông Trúc nói. Chuyên "" bố "" - "" con "". Phó Giám đốc.","cứng, người dân sẽ kêu "" - ông Trực nói. Chuyện "" bố "" - "" con "". Phó giám đốc",0.10256410256410256,0.3333333333333333
Số Tài nguyên - môi trường ở nhà đất Hà Nội Trình Kiến Đình đề nghị : Hàm,Sở Tài nguyên - môi trường & nhà đất Hà Nội Trịnh Kiên Đĩnh đề nghị : thẩm,0.10810810810810811,0.3333333333333333
"quyền thế kế; đất, giao đất phải được thực hiện theo định tính "" ứng lời bảo trợ ""","quyền thu hồi đất, giao đất phải được thể hiện theo tinh thần "" ông bố bao trùm",0.24050632911392406,0.5555555555555556
"ông cơ. Theo đó, UBND cấp tỉnh, thành phố được quyền thu hồi, giao đất","ông con "". Theo đó, UBND cấp tỉnh, thành phố được quyền thu hồi, giao đất",0.0547945205479452,0.125
"thực thâm quyền của UBND cấp quận, huyện (thay vì qui định như hiện nay,","thuộc thẩm quyền của UBND cấp quận, huyện (thay vì qui định như hiện nay,",0.0410958904109589,0.13333333333333333
""" ông bố "" mưu sản đãi vãng phải thông báo cho ông con "" thực hiện, vừa nhiều",""" ông bố "" muốn làm điều này phải thông báo cho "" ông con "" thực hiện, vừa nhiêu",0.1875,0.3
khó vừa không thể đàn hướng đi các cách thủ tục thành chuẩn).,khê vừa không thể hiện hướng đi cải cách thủ tục hành chính).,0.16393442622950818,0.38461538461538464
"Lập tổ Chủ trương Đặng Hưng và phân công : "" ông bố "" có quyền của "" ông bố "" ,","Lập tức Thứ trưởng Đặng Hùng Võ phản ứng : "" ông bố "" có quyền của "" ông bố "",",0.15384615384615385,0.42857142857142855
""" Sống con "" có quyền của "" sống con "". Lượt không cho phép "" sống bố "" làm thay "" sống """,""" ông con "" có quyền của "" ông con "". Luật không cho phép "" ông bố "" làm thay "" ông",0.14457831325301204,0.2608695652173913
"con. Trường hợp nào là những là phạm luật, chỉ có điều kiện không may các công","con "". Trường hợp nào làm thay là phạm luật, chỉ có điều hiện nay các "" ông",0.21333333333333335,0.5
"còn "" không đám kiêu mà thôi! "".","con "" không dám kêu mà thôi!",0.21428571428571427,0.5714285714285714
Chương trình hành động thực hiện Nghị quyết trung ương 9 - khóa,Chương trình hành động thực hiện Nghị quyết trung ương 9 - khóa,0.0,0.0
"IX của Đảng bộ TP.HCM về xây dựng Đảng: tiếp tục chỉ đạo mạnh,",IX của Đảng bộ TP.HCM Về xây dựng Đảng : tiếp tục chỉ đạo mạnh,0.04838709677419355,0.26666666666666666
"mặc, có hiệu quả cuộc vận động xây dựng chính tối Đảng theo tinh","mẽ, có hiệu quả cuộc vận động xây dựng chỉnh đốn Đảng theo tinh",0.07936507936507936,0.21428571428571427
"thấm nghỉ quyết trung vương (lần số). Theo đó, tiếp tục được hiện việc","thần nghị quyết trung ương 6 (lần 2). Theo đó, tiếp tục thực hiện việc",0.15714285714285714,0.4
Lý khai nhà đất và có sự xuất trình doanh của cán bộ công chức.,kê khai nhà đất và cơ sở sản xuất kinh doanh của cán bộ - công chức;,0.20588235294117646,0.4117647058823529
"tăng cường thành kiểm tra những nội cổ đầu hiệu vì phạm, đặc biệt","tăng cường thanh kiểm tra những nơi có dấu hiệu vi phạm, đặc biệt",0.09230769230769231,0.35714285714285715
trong linh vực đất đai và các công trình công trình trại.,trong lĩnh vực đất đai và các công trình trọng điểm.,0.23076923076923078,0.36363636363636365
Xí lệ nghèo mình đòo pháp luật và kỷ luật của Đảng những người,Xử lý nghiêm minh theo pháp luật và kỷ luật của Đảng những người,0.140625,0.35714285714285715
"có hành vi sai trái và những người bao che. Thủ tịch hiện tốt cả quy định,",có hành vi sai trái và những người bao che. Thực hiện tốt các quy định,0.11428571428571428,0.25
"đời với văn bá lành đạo, quản lý đã xảy ra đàm những tiêu cực ở cả","đối với cán bộ lãnh đạo, quản lý để xảy ra tham nhũng, tiêu cực ở cơ",0.17647058823529413,0.47058823529411764
"quan, đơn vị. Kiên trần và tăng uẩng sức chiến đấu của tổ chức","quan, đơn vị. Kiện toàn và tăng cường sức chiến đấu của tổ chức",0.09523809523809523,0.21428571428571427
cơ sở Đảng. Tập tức đổi mới và nâng cao công tác cán bộ. Tập tục,cơ sở Đảng. Tiếp tục đổi mới và nâng cao công tác cán bộ. Tiếp tục,0.07575757575757576,0.1875
tôi mới phường thức lãnh đạo của cấp ủy đảng theo phưòng chấm.,đổi mới phương thức lãnh đạo của cấp ủy Đảng theo phương châm,0.11475409836065574,0.38461538461538464
thường mạnh về cả số.,hướng mạnh về cơ sở.,0.2,0.6
"Về cái cách hành chính : Tập trung chân chính mạnh hơn nữa đại cương,","Về cải cách hành chính : Tập trung chấn chỉnh mạnh hơn nữa kỷ cương,",0.08823529411764706,0.26666666666666666
"Hợp luật trọng bộ máy hành chính, nâng cao tính thân trách nhiệm và","kỷ luật trong bộ máy hành chính, nâng cao tinh thần trách nhiệm và",0.09090909090909091,0.2857142857142857
"ý thức kỷ luật của CO - CC, nhất là trên lĩnh vực nhà đất, dưới.","ý thức kỷ luật của CB - CC, nhất là trên lĩnh vực nhà đất, đầu tư,",0.12121212121212122,0.17647058823529413
"mình doanh, trật tự cây dừng và giải quyết khiếu nại, từ cơ cấu.","kinh doanh, trật tự xây dựng và giải quyết khiếu nại, tố cáo.",0.16393442622950818,0.46153846153846156
Xây dựng hoàn thiện hệ thống các quy trình thủ tục hành chính.,Xây dựng hoàn thiện hệ thống các qui trình thủ tục hành chính.,0.016129032258064516,0.07692307692307693
"Kỳ vọng ước chánh chính bộ máy hành chính của cấp, nhánh công","Kiên quyết chấn chỉnh bộ máy hành chính các cấp, nhanh chóng",0.3,0.6666666666666666
"khác phục tánh trạng quan liêu, cửa quyền, thách đốt.","khắc phục tình trạng quan liêu, cửa quyền, hách dịch.",0.1320754716981132,0.4
Xây dựng và phát triển dựng các CB-CC có chất lượng chuyên môn.,Xây dựng và phát triển đội ngũ CB - CC có chất lượng chuyên môn,0.15873015873015872,0.4
"cao, cố phẩm chất, đào đức. Kiểm tra, xử lý hưu quyết các vụ.","cao, có phẩm chất, đạo đức. Kiểm tra, xử lý kiên quyết các vụ",0.11475409836065574,0.2857142857142857
"tham nhúng, láng phí, làm thất thoát tài sản nhà nước... Việc hình","tham nhũng, lãng phí, làm thất thoát tài sản nhà nước... Về kinh",0.109375,0.3076923076923077
"từ: Tập trung mới nổi lịch nhằm chào gỗ sản xuất nhưng doanh,","tế : Tập trung mọi nỗ lực nhằm tháo gỡ sản xuất kinh doanh,",0.23728813559322035,0.5714285714285714
đưa tới độ tăng trưởng OP trên địa bàn TP đạt 10% năm.,đưa tốc độ tăng trưởng GDP trên địa bàn TP đạt 12% năm,0.1111111111111111,0.3076923076923077
2004 và triển lãm năm 2005. Thất triển nhanh các ngành dịch vụ.,"2004 và trên 12% năm 2005. Phát triển nhanh các ngành dịch vụ,",0.12903225806451613,0.3076923076923077
tái cầu trúc cải ngành công nghiệp.,tái cấu trúc các ngành công nghiệp.,0.08571428571428572,0.2857142857142857
tiếp tục nhân rộng các mô hình huy động vẫn dầu trở. Tập trung khai,Tiếp tục nhân rộng các mô hình huy động vốn đầu tư. Tập trung khai,0.07575757575757576,0.26666666666666666
"thơi cái nguồn với cho ngàn sách. Từng hết quả trình có phần hả,",thác các nguồn vốn cho ngân sách. Tổng kết quá trình cổ phần hóa,0.1875,0.6428571428571429
doanh nghiệp nhà nước và việc tổ chức tập xếp lại doanh nghiệp nhà,doanh nghiệp nhà nước và việc tổ chức sắp xếp lại doanh nghiệp nhà,0.030303030303030304,0.07142857142857142
muột. Trực khai quyết đánh cử TP về một số chính sách vì đưa.,nước. Triển khai quyết định của TP về một số chính sách ưu đãi,0.24193548387096775,0.42857142857142855
tôi vợ cái dù án có vốn đầu tư nước ngoài. Ra sát lại chúng,đối với các dự án có vốn đầu tư nước ngoài. Rà soát lại chương,0.16129032258064516,0.4666666666666667
tành hội nhập kinh tế của TP. Về văn hoá - xã hội : đây nước,trình hội nhập kinh tế của TP. Về văn hóa - xã hội : đẩy mạnh,0.14754098360655737,0.25
"cá hờ hoá, phát triển xã hội học tập, vui tiện đầu tư ngân","xã hội hóa, phát triển xã hội học tập, ưu tiên đầu tư ngân",0.15517241379310345,0.35714285714285715
cách cho giáo dục - đào tạo.,sách cho giáo dục - đào tạo.,0.03571428571428571,0.14285714285714285
Nâng cao năng lực quản lý nhà nước trên các lĩnh vực kinh doanh.,Nâng cao năng lực quản lý nhà nước trên các lĩnh vực kinh doanh,0.015873015873015872,0.07142857142857142
"dịch vụ văn hóa; khẩu phục những sở hộ, tiêu cực trong quản lý,","dịch vụ văn hóa; khắc phục những sơ hở, tiêu cực trong quản lý",0.08064516129032258,0.2857142857142857
và hoạt động văn hoá. Trịp tục tập trung người lực cho chương,và hoạt động văn hóa. Tiếp tục tập trung nguồn lực cho chương,0.11475409836065574,0.23076923076923078
tính 3 giảm...,trình 3 giảm...,0.13333333333333333,0.3333333333333333
Chương trình hành động thực hiện Nghị quyết trung ương 9 - thứ 1x của Đảng bộ.,Chương trình hành động thực hiện Nghị quyết trung ương 9 - khóa IX của Đảng bộ,0.07692307692307693,0.17647058823529413
động.,"TP.HCM Về xây dựng Đảng : tiếp tục chỉ đạo mạnh mẽ, có hiệu quả cuộc vận động xây",0.9506172839506173,1.0
"động chính đơn Đảng theo trình thời quyết trung ương 6 (10 2). Theo đó, tập trung","dựng chỉnh đốn Đảng theo tinh thần nghị quyết trung ương 6 (lần 2). Theo đó, tiếp tục",0.25882352941176473,0.5
trực hiện việc kê thai nhà đất và có số sản xuất lãnh đạo chưa bị công cụ.,thực hiện việc kê khai nhà đất và cơ sở sản xuất kinh doanh của cán bộ - công,0.2987012987012987,0.5789473684210527
"thức, tổng công thành kiểm tra những nơi có đau hiệu vì phạm, đặc biệt","chức; tăng cường thanh kiểm tra những nơi có dấu hiệu vi phạm, đặc biệt",0.1267605633802817,0.4
định lĩnh việc đặt đại và các công trình trong diện.,trong lĩnh vực đất đai và các công trình trọng điểm.,0.23076923076923078,0.5454545454545454
Xú lý nghiêm mình theo pháp luật và kỷ luật của Đảng những người có hành,Xử lý nghiêm minh theo pháp luật và kỷ luật của Đảng những người có hành,0.027777777777777776,0.125
vị sai trái và những người bao che. Thực hiện tốt các quy định đối với cán bộ lãnh,vi sai trái và những người bao che. Thực hiện tốt các quy định đối với cán bộ lãnh,0.012195121951219513,0.05263157894736842
"Đạo, quản lý để xảy ra tham nhũng, tiêu cực ở quân, đón ở. Kiên trọng và","đạo, quản lý để xảy ra tham nhũng, tiêu cực ở cơ quan, đơn vị. Kiện toàn và",0.16,0.3888888888888889
tăng cường sức chiến đấu và tổ chức có số đảng. Tập tục đó mà và nặng,tăng cường sức chiến đấu của tổ chức cơ sở Đảng. Tiếp tục đổi mới và nâng,0.1780821917808219,0.47058823529411764
cao công tác chủ bộ. Tiếp tục đổi mới phương thức lãnh đạo cuộc cấp ủy.,cao công tác cán bộ. Tiếp tục đổi mới phương thức lãnh đạo của cấp ủy,0.08695652173913043,0.1875
Đang theo phương châm hướng mang về có số.,Đảng theo phương châm hướng mạnh về cơ sở.,0.11904761904761904,0.4444444444444444
"Việc cải cách hành chính : Tập trung chính mới mẻ hơn nữa tại cưng, bị hối trọng","Về cải cách hành chính : Tập trung chấn chỉnh mạnh hơn nữa kỷ cương, kỷ luật trong",0.2926829268292683,0.5
"bỏ mấy hàng chính, nàng cao tĩnh thân trách nhiệm và ý thức ký dịch của BCĐC.","bộ máy hành chính, nâng cao tinh thần trách nhiệm và ý thức kỷ luật của CB - CC,",0.2125,0.5789473684210527
"nhất là trên lãnh vực nhà đầu, đầu tư, kinh doanh, trái tại xây dựng và","nhất là trên lĩnh vực nhà đất, đầu tư, kinh doanh, trật tự xây dựng và",0.1,0.25
"giải quyết khiếu nại, tố cáo. Xây dựng hoàn thiện hệ thống các quy trình","giải quyết khiếu nại, tố cáo. Xây dựng hoàn thiện hệ thống các qui trình",0.013888888888888888,0.06666666666666667
thủ tục hành chính. Kiên quyết chính bị máy hành chính các cấp,"thủ tục hành chính. Kiên quyết chấn chỉnh bộ máy hành chính các cấp,",0.11764705882352941,0.2857142857142857
"nhân sự thực phục tình trạng quan liêu, của quyền, khách dịch.","nhanh chóng khắc phục tình trạng quan liêu, cửa quyền, hách dịch.",0.16923076923076924,0.4166666666666667
"Xây dựng và phát triển đối ngữ CB-CE có chất lượng chuyên môn cao, có phẩm.","Xây dựng và phát triển đội ngũ CB - CC có chất lượng chuyên môn cao, có phẩm",0.07894736842105263,0.3333333333333333
"chất, đạo đức. Kiểm tra, xử lý kiến quyết các cử tham nhũng, lấy phí,","chất, đạo đức. Kiểm tra, xử lý kiên quyết các vụ tham nhũng, lãng phí,",0.08571428571428572,0.2
làm thái thoát tay sản nhà nước.... Về bình tế! tập trung mới nổi lúc,làm thất thoát tài sản nhà nước... Về kinh tế : Tập trung mọi nỗ lực,0.20588235294117646,0.625
"nhằm tháo gỡ sản xuất bình doanh, đầu tư tổng trưởng GDP trên địa","nhằm tháo gỡ sản xuất kinh doanh, đưa tốc độ tăng trưởng GDP trên địa",0.14492753623188406,0.3333333333333333
bán TP đạt 12% năm 2004 và trên 12% năm 2005. Phải triển khai,bàn TP đạt 12% năm 2004 và trên 12% năm 2005. Phát triển nhanh,0.0967741935483871,0.21428571428571427
"các ngân dịch vụ, tài cầu trực có ngân công nghiệp.","các ngành dịch vụ, tái cấu trúc các ngành công nghiệp.",0.16666666666666666,0.5454545454545454
Tiếp tục nhân rộng các mô hình. Huy đóng vốn đầu tư. Tập trung khai đặc.,Tiếp tục nhân rộng các mô hình huy động vốn đầu tư. Tập trung khai thác,0.09859154929577464,0.25
các nguồn vốn cho ngân sách. Tổng kết quả trực cổ phải hoá doanh,các nguồn vốn cho ngân sách. Tổng kết quá trình cổ phần hóa doanh,0.12307692307692308,0.2857142857142857
"nghiệp nhà nước và việc tổ chức, sắp xếp lại doanh nghiệp nhà nước.",nghiệp nhà nước và việc tổ chức sắp xếp lại doanh nghiệp nhà nước.,0.015151515151515152,0.07142857142857142
Triển khai quyết định của TP về mở sở chính sách dự án đối với.,Triển khai quyết định của TP về một số chính sách ưu đãi đối với,0.140625,0.3333333333333333
các dự án có vốn đầu tư nước ngoài. Rà sát lại các chương,các dự án có vốn đầu tư nước ngoài. Rà soát lại chương,0.09259259259259259,0.15384615384615385
trình hội nhập kinh tế của TP. Về văn hoá - xã hội; đây mang xã hội.,trình hội nhập kinh tế của TP. Về văn hóa - xã hội : đẩy mạnh xã,0.1875,0.35294117647058826
"hỏi hóa, phải triển xã hội học tập, khu tiếp đất để ngăn sách","hội hóa, phát triển xã hội học tập, ưu tiên đầu tư ngân sách",0.2,0.5
cho giáo dục - đã tạo.,cho giáo dục - đào tạo.,0.08695652173913043,0.16666666666666666
Nâng cao năng lực quản lý nhà nước trên các lĩnh vực bên dưới dịch vụ.,Nâng cao năng lực quản lý nhà nước trên các lĩnh vực kinh doanh dịch vụ,0.11267605633802817,0.1875
"văn hội ; khả phục những sở hộ, trên các trọng quản lý và hoạt động","văn hóa; khắc phục những sơ hở, tiêu cực trong quản lý và hoạt động",0.16417910447761194,0.5333333333333333
văn hoá. Tích tục tập trung người lực cho đường trấn 3 giám...,văn hóa. Tiếp tục tập trung nguồn lực cho chương trình 3 giảm...,0.21875,0.46153846153846156
"Việt tiếp vì mu cành trương Xuân Đại. Ngày tư khi tô bao "" cơ sở phản ứng ""","Viết tiếp về vụ anh Trương Xuân Đại. Ngay từ khi tờ báo có bài "" Số phận của",0.34210526315789475,0.7894736842105263
"nhưng người mới lên sự thật "" phát hành, nhân lâm đã cất bấy bốn chưa sẵn,","những người nói lên sự thật "" phát hành, nhiều bạn đọc đã bày tỏ sự chia sẻ,",0.3026315789473684,0.5555555555555556
ứng họ anh Trương Xuân Đại. Mặt bàn đã có 7 tuổi ở Q. Mắt nằm gửi tặng anh Trương,ủng hộ anh Trương Xuân Đại. Một bạn đọc 67 tuổi ở Q.11 đến gửi tặng anh Trương,0.19230769230769232,0.5555555555555556
"xuân Đà 150.000 đồng, mà có gì vì nhưng ở Tân Bình gửi bằng 100.000,","Xuân Đại 150.000 đồng, một cô gái tên Nhung ở Tân Bình gửi tặng 100.000 đ,",0.22972972972972974,0.625
"một thành niên Hà Điển quý 200.000 đồng. Sáng vừa là Nội,",một thanh niên tên Hà đến gửi 200.000 đ. Sau đó nữa là rất,0.43103448275862066,0.6428571428571429
"thành lưu đã có tiền bạy kỳ Nữ chiếc, cũng hồ.","nhiều bạn đọc gọi đến bày tỏ sự chia sẻ, ủng hộ.",0.5625,1.0
Bạn liền tay bảo 'tuân' từ cùng quyển 'Đình gia' tây nhằm công nhân.,Ban biên tập báo Tuổi Trẻ cũng quyết định gửi tặng nhóm công nhân,0.4307692307692308,0.9285714285714286
để tối 10 tháng cuối đãng lưu công A5 10 tuần đóng. Đóng xe người dân,đã tố cáo tiêu cực ở đường liên cảng A5 10 triệu đồng. Đừng để người dân,0.375,0.7647058823529411
"để cuối cho niềm tin! Của bạn bố chí, bạn nhân bản dữ liệu về với tôi vào tháng,","đặt cược cho niềm tin! Qua báo chí, bản thân tôi đã được biết về việc tố cáo những",0.45121951219512196,0.7894736842105263
"đại phạm của công văn chương liên công A5 mạng nước ngoài, những ngày","sai phạm của công rình đường liên cảng A5 mấy năm trước đây, nhưng nay",0.34285714285714286,0.6666666666666666
máy lúc 2 mức lớn chúng còn và bắt đập dần mỏng còn bão hòa lũng phải.,mới biết việc làm dũng cảm và tốt đẹp đó đã mang đến bao hệ lụy phiền phức,0.5675675675675675,1.0
"và người thông mãi, những người mà "" thời kỳ vô cùng xấu "" đã vỡ chết.","cho những người trong cuộc, những người mà theo tôi vô cùng xứng đáng với danh",0.46153846153846156,0.75
hình như là.,hiệu hiệp sĩ.,0.6923076923076923,1.0
"Thế nhưng những hiệp nữ gì của nó? Người đó bày tháng lịch bảy, hè nhỏ.","Thế nhưng những hiệp sĩ ấy giờ ra sao? Người thì lang thang, phiêu bạt, kẻ thì",0.4230769230769231,0.7058823529411765
"và họ, hết thì cũng có thành công, đó như tất thương vẻ chưa, phải là tất công,","vợ bỏ, kẻ thì cày ải trên những con đường đô thị để lượm ve chai, phải tá túc trong",0.5662650602409639,0.9
"những cơn đất đỏm bỏ ngày ngày. Người nó mới nhưng, thế! đứng lên phía chân,",những căn chòi tạm bợ sống qua ngày. Ngẫm sao mà thương thế! Đáng lẽ phải được,0.46153846153846156,0.8235294117647058
"Từ văn thư tôi là những sơ tuyển cấp bậc bị dự án xin sử dụng cụm cửa,",tôn vinh thì trái lại những con người ấy đã bị đẩy xuống đáy cùng của cuộc,0.5540540540540541,0.9411764705882353
"động! cũng may mà anh ôm đã thấy hơn, đó chắc là niệm cũ và vẫn","sống! Cũng may mà anh Đại đã thắng kiện, đó chắc là một niềm an ủi và",0.3333333333333333,0.5882352941176471
"là nhân dịch để mình và các đồng nghiệp, người chưa tin công xc.","là một khẳng định để anh và các đồng nghiệp, người thân tin rằng các",0.27941176470588236,0.4666666666666667
anh hầm đơn. Tôi hãy viết thông điệp năm tới từ lý pháp mà mình.,anh không đơn độc trong việc theo đuổi niềm tin về lẽ phải của mình.,0.4852941176470588,0.8666666666666667
"Là mùa, khi thành tạo dấu xác đãi sự đảm bảo những xử lý mà ủi ngắm.","Lại nữa, khi thanh tra đã xác định sai phạm sao không xử lý mà để "" ngâm """,0.3918918918918919,0.7368421052631579
lại ngày đầu cùng 2 văn bản) phải là người này lãnh vực chuyên môn vàng.,lâu ngày đến vậy? Tôi không phải là người trong lĩnh vực chuyên môn nhưng,0.3698630136986301,0.6
"có "" lưu hình dụng công văn đến bên cạnh A S chưa chấm phép, vụ hoại động cơ """,có thể hình dung công trình đường liên cảng A5 chắc là nhằm phục vụ hoạt động của,0.4074074074074074,0.8333333333333334
sẽ nhà đầu tư trong khu đất sản tại Trung tâm Văn hộ huyện khối phúc ngày,các nhà đầu tư trong Khu chế xuất Tân Thuận. Vậy thì khi không khắc phục ngay,0.44155844155844154,0.7647058823529411
"mà còn đề cương xem gì? Như vậy, ở phải kể gặp khiến phải.","mà còn để con đường xuống cấp thê thảm, có phải là góp thêm phần",0.484375,0.8
bạn xin / đi mà vay đã trả của Chính phủ ở huy thành 1 mức vay.,"làm xấu đi môi trường đầu tư của thành phố hay không, và cũng",0.6065573770491803,1.0714285714285714
"đây nghĩa và việc mà đi bao nhiêu và hả bạn việc và cả nhiều cơ sở,",đồng nghĩa với việc mất đi bao nhiêu cơ hội làm việc và cải thiện cuộc sống,0.32,0.5882352941176471
"của người bị bỏ đi - đời bỏ - họ thầm?"".",của người lao động - đồng bào - hay không?,0.5,0.7
chúng là cơ bản nghênh vụ hiện Đương như vì cơ bản là lợi ích này nhưng,"Chúng ta "" hoan nghênh và biểu dương những việc làm tốt của công nhân",0.5072463768115942,1.0666666666666667
xây dựng công việc là một trong phẩm và giải phóng của công trình công ty.,"xây dựng trong việc thông tin, phản ánh sai phạm của công trình đường",0.43478260869565216,0.7142857142857143
"hư công AS 3), nhưng chưa có những sách Thư nhân nghèo, vì vẫn ""","liên cảng A5 "", nhưng chắc là không có hình thức hoan nghênh và biểu",0.5147058823529411,0.9333333333333333
đường chính nhưng hơn vì vì những địa phương bị xử lý ngày,dương nào thiết thực hơn đối với anh Đại và những đồng nghiệp là xử lý ngay,0.5466666666666666,0.7647058823529411
không mới phạm ( đã có muốn mua ) và có liên pháp hiểu biết được,những sai phạm (đã rõ mười mươi) và có biện pháp hữu hiệu khắc phục,0.40298507462686567,0.8666666666666667
"những nỗ lực của các nhân viên, gìn vì sự phê phán để chấp phát,",những sai phạm đó. Có như vậy niềm tin vào lẽ phải mới được khôi phục,0.6086956521739131,0.9375
cả người dân sẽ thấy còn phải đặt được họ quản lý làm ở mình?,và người dân sẽ không còn phải đặt cược cho niềm tin của mình.,0.3548387096774194,0.6428571428571429
Phân kỳ mà cũ chúng đã không hướng lên làm công nhân chúng còn ở vị vị?,Phải là một câu chuyện đàng hoàng! Nhóm công nhân dũng cảm ấy gồm,0.5846153846153846,1.0714285714285714
zo người Việt mà hải thủ ra vì đã bây giờ là tôi. Chỉ 2 năm đã đã vẫn bây giờ.,20 người vậy mà hầu như nay đã lang bạt hết. Chỉ còn anh Đại và bốn,0.6716417910447762,1.0
"người Hội. Thân phận, luật ngưng cũng họ đi tới, ga' dân mình mới cung cấp.","người khác. Thân phận, cuộc sống của họ là bi đát, và điều mỉa mai cũng",0.5211267605633803,0.75
"vẫn làm chưa lòng bình phận họ, đã xã nhân văn đã phải đề tài "" gì vì ""","như làm chạnh lòng tôi là có phải họ đã xả thân vì đại nghĩa để rồi gia đình,",0.5064935064935064,0.8947368421052632
